threads,policy,execution_time,speedup,parallel_efficiency
1,seq,1.20266,0.909691,0.909691
2,seq,1.26235,0.93738,0.46869
3,seq,1.1228,0.968718,0.322906
4,seq,1.16858,0.98559,0.246398
5,seq,1.1913,0.907807,0.181561
6,seq,1.22817,0.901071,0.150179
7,seq,1.20158,0.932488,0.133213
8,seq,1.2184,0.920663,0.115083
9,seq,1.18298,0.943766,0.104863
10,seq,1.20275,0.916349,0.0916349
11,seq,1.24136,0.899236,0.0817487
12,seq,1.24588,0.970112,0.0808427
13,seq,1.24533,1.05238,0.0809525
14,seq,1.24048,0.981866,0.0701333
15,seq,1.1274,0.92535,0.06169
16,seq,1.14619,0.936091,0.0585057
1,par,1.22717,0.916328,0.916328
2,par,0.600635,1.83946,0.91973
3,par,0.386373,2.82866,0.942887
4,par,0.297244,3.72565,0.931413
5,par,0.238332,4.57313,0.914625
6,par,0.202689,5.52542,0.920903
7,par,0.178249,6.24976,0.892823
8,par,0.160516,6.88332,0.860416
9,par,0.152844,6.85862,0.762069
10,par,0.163529,7.28215,0.728215
11,par,0.147526,7.72678,0.702435
12,par,0.141491,7.82112,0.65176
13,par,0.142942,7.91281,0.608678
14,par,0.135928,8.6246,0.616043
15,par,0.129404,8.51385,0.56759
16,par,0.126756,8.59899,0.537437
1,par_unseq,0.98908,1.11121,1.11121
2,par_unseq,0.513713,2.06511,1.03256
3,par_unseq,0.343183,3.22736,1.07579
4,par_unseq,0.254485,4.30427,1.07607
5,par_unseq,0.208808,5.58581,1.11716
6,par_unseq,0.17982,6.28925,1.04821
7,par_unseq,0.166657,7.14803,1.02115
8,par_unseq,0.148781,7.75178,0.968972
9,par_unseq,0.148157,8.05752,0.89528
10,par_unseq,0.143117,8.28102,0.828102
11,par_unseq,0.124611,8.51388,0.773989
12,par_unseq,0.12165,8.76696,0.73058
13,par_unseq,0.128662,9.37799,0.721384
14,par_unseq,0.112978,9.66874,0.690624
15,par_unseq,0.111796,9.83048,0.655365
16,par_unseq,0.109989,10.1635,0.63522
